ra,dec,smooth-or-featured-gz2_smooth,smooth-or-featured-gz2_featured-or-disk,smooth-or-featured-gz2_artifact,disk-edge-on-gz2_yes,disk-edge-on-gz2_no,bar-gz2_yes,bar-gz2_no,has-spiral-arms-gz2_yes,has-spiral-arms-gz2_no,bulge-size-gz2_no,bulge-size-gz2_just-noticeable,bulge-size-gz2_obvious,bulge-size-gz2_dominant,something-odd-gz2_yes,something-odd-gz2_no,how-rounded-gz2_round,how-rounded-gz2_in-between,how-rounded-gz2_cigar,bulge-shape-gz2_round,bulge-shape-gz2_boxy,bulge-shape-gz2_no-bulge,spiral-winding-gz2_tight,spiral-winding-gz2_medium,spiral-winding-gz2_loose,spiral-arm-count-gz2_1,spiral-arm-count-gz2_2,spiral-arm-count-gz2_3,spiral-arm-count-gz2_4,spiral-arm-count-gz2_more-than-4,spiral-arm-count-gz2_cant-tell,smooth-or-featured-gz2_total-votes,smooth-or-featured-gz2_smooth_fraction,smooth-or-featured-gz2_featured-or-disk_fraction,smooth-or-featured-gz2_artifact_fraction,disk-edge-on-gz2_total-votes,disk-edge-on-gz2_yes_fraction,disk-edge-on-gz2_no_fraction,has-spiral-arms-gz2_total-votes,has-spiral-arms-gz2_yes_fraction,has-spiral-arms-gz2_no_fraction,bar-gz2_total-votes,bar-gz2_yes_fraction,bar-gz2_no_fraction,bulge-size-gz2_total-votes,bulge-size-gz2_dominant_fraction,bulge-size-gz2_obvious_fraction,bulge-size-gz2_just-noticeable_fraction,bulge-size-gz2_no_fraction,something-odd-gz2_total-votes,something-odd-gz2_yes_fraction,something-odd-gz2_no_fraction,how-rounded-gz2_total-votes,how-rounded-gz2_round_fraction,how-rounded-gz2_in-between_fraction,how-rounded-gz2_cigar_fraction,bulge-shape-gz2_total-votes,bulge-shape-gz2_round_fraction,bulge-shape-gz2_boxy_fraction,bulge-shape-gz2_no-bulge_fraction,spiral-winding-gz2_total-votes,spiral-winding-gz2_tight_fraction,spiral-winding-gz2_medium_fraction,spiral-winding-gz2_loose_fraction,spiral-arm-count-gz2_total-votes,spiral-arm-count-gz2_1_fraction,spiral-arm-count-gz2_2_fraction,spiral-arm-count-gz2_3_fraction,spiral-arm-count-gz2_4_fraction,spiral-arm-count-gz2_more-than-4_fraction,spiral-arm-count-gz2_cant-tell_fraction,file_loc,subfolder,iauname,smooth-or-featured-gz2_semantic,disk-edge-on-gz2_semantic,has-spiral-arms-gz2_semantic,bar-gz2_semantic,bulge-size-gz2_semantic,something-odd-gz2_semantic,how-rounded-gz2_semantic,bulge-shape-gz2_semantic,spiral-winding-gz2_semantic,spiral-arm-count-gz2_semantic,summary,leaf_prob,label,filename,id_str,objid,sample,asset_id,name,pgc,img_name,row_txt
132.91116333,25.3264160156,18,22,1,0,22,4,18,6,16,0,5,7,10,24,16,5,13,0,0,0,0,4,2,0,0,4,0,0,0,2,41,0.43902439024390244,0.5365853658536586,0.024390243902439025,22,0.0,1.0,22,0.2727272727272727,0.7272727272727273,22,0.18181818181818182,0.8181818181818182,22,0.45454545454545453,0.3181818181818182,0.22727272727272727,0.0,40,0.6,0.4,18,0.2777777777777778,0.7222222222222222,0.0,0,,,,6,0.6666666666666666,0.3333333333333333,0.0,6,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,data/gz2/images/587739/587739115241013526.jpg,587739,J085138.67+251935.1,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_dominant,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.3192904656319291,6,587739115241013526.jpg,587739115241013526,587739115241013526,original,118823,J085138.6+251935.,.......,118823,725
174.63705444299998,23.9421806335,11,38,1,7,31,0,31,10,21,1,12,15,3,33,16,1,7,3,7,0,0,6,3,1,2,0,1,1,0,6,50,0.22,0.76,0.02,38,0.18421052631578946,0.8157894736842105,31,0.3225806451612903,0.6774193548387096,31,0.0,1.0,31,0.0967741935483871,0.4838709677419355,0.3870967741935484,0.03225806451612903,49,0.673469387755102,0.32653061224489793,11,0.09090909090909091,0.6363636363636364,0.2727272727272727,7,1.0,0.0,0.0,10,0.6,0.3,0.1,10,0.2,0.0,0.1,0.1,0.0,0.6,data/gz2/images/587742/587742189364183175.jpg,587742,J113832.89+235631.8,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.42,6,587742189364183175.jpg,587742189364183175,587742189364183175,original,169919,J113832.87+235631.4,1696576,169919,3292
167.788787842,57.0396232605,18,20,0,0,20,2,18,2,18,0,4,13,3,23,15,1,17,0,0,0,0,1,1,0,0,1,0,0,0,1,38,0.47368421052631576,0.5263157894736842,0.0,20,0.0,1.0,20,0.1,0.9,20,0.1,0.9,20,0.15,0.65,0.2,0.0,38,0.6052631578947368,0.39473684210526316,18,0.05555555555555555,0.9444444444444444,0.0,0,,,,2,0.5,0.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.5,data/gz2/images/587731/587731891649052838.jpg,587731,J111109.30+570222.6,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.4263157894736842,6,587731891649052838.jpg,587731891649052838,587731891649052838,original,49218,J111109.28+570222.9,3404755,49218,2797
260.270599365,59.8214111328,21,23,1,0,23,2,21,4,19,1,8,7,7,26,18,3,17,1,0,0,0,1,3,0,0,3,0,0,0,1,45,0.4666666666666667,0.5111111111111111,0.022222222222222223,23,0.0,1.0,23,0.17391304347826086,0.8260869565217391,23,0.08695652173913043,0.9130434782608695,23,0.30434782608695654,0.30434782608695654,0.34782608695652173,0.043478260869565216,44,0.5909090909090909,0.4090909090909091,21,0.14285714285714285,0.8095238095238095,0.047619047619047616,0,,,,4,0.25,0.75,0.0,4,0.0,0.75,0.0,0.0,0.0,0.25,data/gz2/images/587725/587725589310144688.jpg,587725,J172104.93+594917.1,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_just-noticeable,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.3855072463768115,6,587725589310144688.jpg,587725589310144688,587725589310144688,original,11131,J172105.01+594917.3,2594618,11131,9246
181.776763916,25.894203186,21,24,1,0,24,0,24,8,16,0,5,12,7,30,15,21,0,0,0,0,0,7,1,0,0,4,0,0,0,4,46,0.45652173913043476,0.5217391304347826,0.021739130434782608,24,0.0,1.0,24,0.3333333333333333,0.6666666666666666,24,0.0,1.0,24,0.2916666666666667,0.5,0.20833333333333334,0.0,45,0.6666666666666666,0.3333333333333333,21,1.0,0.0,0.0,0,,,,8,0.875,0.125,0.0,8,0.0,0.5,0.0,0.0,0.0,0.5,data/gz2/images/587742/587742191514550430.jpg,587742,J120706.42+255339.1,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.34782608695652173,6,587742191514550430.jpg,587742191514550430,587742191514550430,original,171187,J120706.41+255339.4,1754042,171187,3854
149.307510376,11.46925354,20,30,1,2,27,2,26,6,22,0,5,19,4,30,19,13,7,0,2,0,0,3,3,0,2,2,0,0,0,2,51,0.39215686274509803,0.5882352941176471,0.0196078431372549,29,0.06896551724137931,0.9310344827586207,28,0.21428571428571427,0.7857142857142857,28,0.07142857142857142,0.9285714285714286,28,0.14285714285714285,0.6785714285714286,0.17857142857142858,0.0,49,0.6122448979591837,0.3877551020408163,20,0.65,0.35,0.0,2,1.0,0.0,0.0,6,0.5,0.5,0.0,6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,data/gz2/images/587735/587735347486195925.jpg,587735,,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.39957362255246925,6,587735347486195925.jpg,587735347486195925,587735347486195925,original,80284,J095713.76+112809.1,1394099,80284,1484
170.917449951,46.5154495239,11,31,0,2,29,9,20,5,24,0,8,20,1,32,10,0,10,1,2,0,0,3,1,1,0,2,0,0,0,3,42,0.2619047619047619,0.7380952380952381,0.0,31,0.06451612903225806,0.9354838709677419,29,0.1724137931034483,0.8275862068965517,29,0.3103448275862069,0.6896551724137931,29,0.034482758620689655,0.6896551724137931,0.27586206896551724,0.0,42,0.7619047619047619,0.23809523809523808,11,0.0,0.9090909090909091,0.09090909090909091,2,1.0,0.0,0.0,5,0.6,0.2,0.2,5,0.0,0.4,0.0,0.0,0.0,0.6,data/gz2/images/588297/588297864191541406.jpg,588297,J112340.18+463055.6,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.39408866995073893,6,588297864191541406.jpg,588297864191541406,588297864191541406,original,239679,J112340.15+463055.5,2282529,239679,3051
217.213500977,29.9107551575,7,32,0,0,32,6,26,10,22,0,8,21,3,31,8,2,5,0,0,0,0,3,7,0,0,2,0,0,0,8,39,0.1794871794871795,0.8205128205128205,0.0,32,0.0,1.0,32,0.3125,0.6875,32,0.1875,0.8125,32,0.09375,0.65625,0.25,0.0,39,0.7948717948717948,0.20512820512820512,7,0.2857142857142857,0.7142857142857143,0.0,0,,,,10,0.3,0.7,0.0,10,0.0,0.2,0.0,0.0,0.0,0.8,data/gz2/images/587739/587739406257356969.jpg,587739,J142851.24+295438.7,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_no,bar-gz2_no,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,featured_without_bar_or_spiral,0.4583333333333333,6,587739406257356969.jpg,587739406257356969,587739406257356969,original,126263,J142851.26+295438.7,3089075,126263,6485
216.934906006,8.65072154999,2,38,0,2,36,14,22,28,8,2,19,10,5,23,17,0,0,2,1,1,0,7,13,8,2,12,3,1,1,9,40,0.05,0.95,0.0,38,0.05263157894736842,0.9473684210526315,36,0.7777777777777778,0.2222222222222222,36,0.3888888888888889,0.6111111111111112,36,0.1388888888888889,0.2777777777777778,0.5277777777777778,0.05555555555555555,40,0.575,0.425,2,0.0,0.0,1.0,2,0.5,0.5,0.0,28,0.25,0.4642857142857143,0.2857142857142857,28,0.07142857142857142,0.42857142857142855,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.32142857142857145,data/gz2/images/587736/587736542555865366.jpg,587736,J142744.37+083902.6,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_yes,bar-gz2_no,bulge-size-gz2_just-noticeable,something-odd-gz2_yes,-,-,spiral-winding-gz2_medium,spiral-arm-count-gz2_2,unbarred_spiral,0.4277777777777778,4,587736542555865366.jpg,587736542555865366,587736542555865366,original,91504,J142744.35+083902.8,1350996,91504,6446
250.472305298,23.7437267303,6,39,0,2,37,26,11,21,16,1,10,20,6,28,17,1,3,2,2,0,0,10,9,2,4,16,0,1,0,0,45,0.13333333333333333,0.8666666666666667,0.0,39,0.05128205128205128,0.9487179487179487,37,0.5675675675675675,0.43243243243243246,37,0.7027027027027027,0.2972972972972973,37,0.16216216216216217,0.5405405405405406,0.2702702702702703,0.02702702702702703,45,0.6222222222222222,0.37777777777777777,6,0.16666666666666666,0.5,0.3333333333333333,2,1.0,0.0,0.0,21,0.47619047619047616,0.42857142857142855,0.09523809523809523,21,0.19047619047619047,0.7619047619047619,0.0,0.047619047619047616,0.0,0.0,data/gz2/images/587735/587735742621352507.jpg,587735,J164153.35+234437.4,smooth-or-featured-gz2_featured-or-disk,disk-edge-on-gz2_no,has-spiral-arms-gz2_yes,bar-gz2_yes,bulge-size-gz2_obvious,something-odd-gz2_yes,-,-,-,-,barred_spiral,0.3279279279279279,5,587735742621352507.jpg,587735742621352507,587735742621352507,original,87695,J164153.37+234437.6,3571805,87695,8877
