objid,sample,asset_id,name,pgc,img_name,row_txt
587722981748768914,original,111,LCSB S1860P,.......,111,5169
587722981749096646,original,123,J13223165-0107282,1126186,123,5229
587722981750997167,original,147,J13393109-0103296,1127814,147,5589
587722982284525580,original,268,CGCG 016-010,45591,268,4950
587722982284853290,original,284,J13120639-0049501,1133616,284,5023
587722982285312179,original,290,J13162738-0040449,1137394,290,5126
587722982285836463,original,313,J13211106-0039596,1137663,313,5212
587722982286098618,original,323,J13232909-0045183,1135507,323,5240
587722982288785725,original,360,J13482260-0046006,48968,360,5760
587722982297698726,original,481,J15094560-0045153,1135534,481,7320
587722982298615914,original,512,CGCG 021-073,54605,512,7525
587722982822904047,original,688,J132314.35-001315.5,.......,688,5239
587722982832013381,original,835,NGC 5750,52735,835,6848
587722982832210235,original,839,J144800.24-001802.7,1146764,839,6877
587722983359840456,original,1058,J132332.05+000418.6,1156400,1058,5241
587722983360430279,original,1073,J132850.02+000338.8,1156108,1073,5325
587722983362199556,original,1098,J134452.88+000520.5,1156796,1098,5685
587722983363117392,original,1109,J135345.20+000930.8,1158564,1109,5852
587722983370457232,original,1240,J150048.35+001035.2,1159006,1240,7148
587722983895335162,original,1450,J131110.29+002621.7,.......,1450,5006
587722983897039086,original,1476,J132643.81+002704.9,1166262,1476,5304
587722983898677541,original,1504,J134144.06+002624.4,1165959,1504,5655
587722983899136194,original,1514,J134534.03+002553.2,1165752,1514,5694
587722983904444632,original,1597,J143411.28+003656.8,1170723,1597,6592
587722983907786781,original,1635,J150440.22+003616.1,1170406,1635,7221
587722983909294460,original,1672,J151842.84+002648.5,1166135,1672,7542
587722984427028609,original,1749,J122342.63+005743.8,1180356,1749,4187
587722984431026387,original,1801,J130030.38+010247.2,1182883,1801,4763
587722984432009290,original,1814,NGC 4996,45629,1814,4975
587724648180940854,original,2147,NGC 3776,36048,2147,3291
587724648181465191,original,2153,LCRS B114055.2-0302,.......,2153,3364
587724648181530729,original,2155,LCRS B114107.4-0310,115426,2155,3370
587724648185462911,original,2231,LCRS B121714.6-0309,104680,2231,4103
587724648720826467,original,2529,CGCG 013-075,38372,2529,3817
587724648723316864,original,2576,LCRS B122604.6-0241,104668,2576,4300
587724649246228646,original,2663,J102113.23-022010.8,.......,2663,1842
587724649249046709,original,2704,CGCG 010-013,32220,2704,2303
587724649249177611,original,2709,J10475539-0224146,1093031,2709,2316
587724649258352760,original,2799,LCRS B120915.9-0223,125866,2799,3960
587724649262350542,original,2840,LCRS B124619.8-0218,117058,2840,4572
587724649263399063,original,2859,LCRS B125549.2-0224,117364,2859,4725
587724649791815689,original,2996,J11403788-0214009,3774993,2996,3340
587724649793716397,original,3028,CGCG 013-020,37693,3028,3693
587724649799745707,original,3122,J125328.67-020730.7,1101060,3122,4646
587724650319970438,original,3178,J10210183-0120522,155110,3178,1839
587724650322460854,original,3216,J10441000-0136189,1114781,3216,2228
587724650328621219,original,3257,J11400848-0141420,1112546,3257,3334
587724650867130377,original,3575,J11550187-0123112,1119858,3575,3631
587724650867130440,original,3576,UM 467,37434,3576,3641
587724650870603822,original,3622,CGCG 014-041,40797,3622,4258
587724650876371130,original,3717,J13195622-0121576,1120374,3717,5195
