,id_str,file_loc,ring
194,194,data/gzd5/images/J154/J154709.13+275640.0.jpg,1
376,376,data/gzd5/images/J103/J103459.74+312119.0.jpg,1
611,611,data/gzd5/images/J134/J134143.99+040825.3.jpg,1
2248,162227,data/gzd5/images/J124/J124250.60-010440.0.jpg,0
1765,1211,data/gzd5/images/J160/J160256.82+214321.1.jpg,0
6,6,data/gzd5/images/J151/J151011.93-021454.5.jpg,1
1433,112064,data/gzd5/images/J151/J151437.11+155246.0.jpg,0
2293,26937,data/gzd5/images/J110/J110644.75+040821.3.jpg,0
411,411,data/gzd5/images/J081/J081625.76+203910.7.jpg,1
478,478,data/gzd5/images/J084/J084112.81+170535.0.jpg,1
1533,157238,data/gzd5/images/J111/J111356.62-032111.7.jpg,0
595,595,data/gzd5/images/J153/J153530.15+271745.3.jpg,1
1067,1067,data/gzd5/images/J093/J093658.64+080448.6.jpg,1
1755,42739,data/gzd5/images/J105/J105931.87+121618.6.jpg,0
1250,4475,data/gzd5/images/J090/J090850.30+130814.7.jpg,0
2328,152629,data/gzd5/images/J120/J120738.28+151033.4.jpg,0
2393,89706,data/gzd5/images/J095/J095720.10+311658.8.jpg,0
480,480,data/gzd5/images/J160/J160353.38+143638.3.jpg,1
1586,4479,data/gzd5/images/J143/J143624.02+080727.9.jpg,0
1860,131869,data/gzd5/images/J164/J164151.39+263151.6.jpg,0
1275,36656,data/gzd5/images/J150/J150248.80+021246.1.jpg,0
1539,51946,data/gzd5/images/J115/J115613.57+093601.5.jpg,0
1830,4464,data/gzd5/images/J130/J130403.37+025821.2.jpg,0
447,447,data/gzd5/images/J134/J134142.48+020743.5.jpg,1
125,125,data/gzd5/images/J154/J154623.22+240843.3.jpg,1
1272,147439,data/gzd5/images/J122/J122012.18+063723.5.jpg,0
2343,165252,data/gzd5/images/J144/J144226.00+182218.0.jpg,0
2164,120636,data/gzd5/images/J102/J102740.54+100730.3.jpg,0
1086,1086,data/gzd5/images/J115/J115419.56+103947.8.jpg,1
255,255,data/gzd5/images/J151/J151133.90+171855.0.jpg,1
2426,131221,data/gzd5/images/J081/J081454.05+155048.7.jpg,0
1984,14424,data/gzd5/images/J131/J131639.06+101630.1.jpg,0
2367,178408,data/gzd5/images/J111/J111306.49+000455.3.jpg,0
830,830,data/gzd5/images/J110/J110251.24+142010.6.jpg,1
2249,167880,data/gzd5/images/J130/J130556.91+081731.2.jpg,0
1535,90450,data/gzd5/images/J101/J101330.34+143811.0.jpg,0
798,798,data/gzd5/images/J130/J130046.26+072925.6.jpg,1
797,797,data/gzd5/images/J151/J151729.56+311952.3.jpg,1
1132,1132,data/gzd5/images/J141/J141515.33+053823.3.jpg,1
380,380,data/gzd5/images/J143/J143908.42+132140.2.jpg,1
315,315,data/gzd5/images/J153/J153632.52+250816.5.jpg,1
2274,12410,data/gzd5/images/J030/J030050.83-070523.4.jpg,0
1893,48745,data/gzd5/images/J013/J013221.98+052032.6.jpg,0
522,522,data/gzd5/images/J162/J162805.46+245029.7.jpg,1
342,342,data/gzd5/images/J130/J130649.93+105912.9.jpg,1
462,462,data/gzd5/images/J153/J153627.77+223001.7.jpg,1
747,747,data/gzd5/images/J141/J141303.95+224557.0.jpg,1
40,40,data/gzd5/images/J104/J104517.26+172637.4.jpg,1
588,588,data/gzd5/images/J144/J144925.19+182049.4.jpg,1
2032,47521,data/gzd5/images/J095/J095237.39+192821.6.jpg,0
471,471,data/gzd5/images/J082/J082744.26+121401.8.jpg,1
1001,1001,data/gzd5/images/J110/J110546.90+064042.0.jpg,1
336,336,data/gzd5/images/J122/J122047.98+273147.3.jpg,1
614,614,data/gzd5/images/J081/J081325.80+250737.0.jpg,1
1650,49931,data/gzd5/images/J121/J121216.04+152545.4.jpg,0
0,0,data/gzd5/images/J160/J160512.05+321018.3.jpg,1
156,156,data/gzd5/images/J101/J101502.34+143621.0.jpg,1
1669,123336,data/gzd5/images/J013/J013154.62-004852.8.jpg,0
1442,132948,data/gzd5/images/J150/J150149.09+000323.5.jpg,0
1243,11925,data/gzd5/images/J114/J114846.10+131415.7.jpg,0
1805,45039,data/gzd5/images/J004/J004524.71-003508.5.jpg,0
299,299,data/gzd5/images/J113/J113022.12+320018.0.jpg,1
