pgc,al2000,de2000,ring
21665,7.7306527,49.6142214,R
21708,7.7520147,46.0723911,R
21825,7.79883,19.0944,
21927,7.8333367,30.0249432,R
22075,7.8858151,50.1306315,R
22083,7.8882638,27.4606972,R
22141,7.906909,39.3715425,R
22190,7.9236937,39.1860998,R
22404,7.9944781,15.3868023,R
22422,8.0033481,55.3699749,R
22526,8.0316992,9.6258527,R
22594,8.052432,24.6563976,R
22657,8.0703238,55.3976781,R
22663,8.0730939,43.5825732,R
22689,8.0821003,56.4791757,R
22694,8.0848277,40.1745346,R
22708,8.0911392,35.9466603,R
22849,8.1418396,19.2084968,R
22871,8.1514532,55.4423846,R
22942,8.1806076,48.29228,R
23015,8.2142723,46.19927,R
23022,8.2140464,57.9214191,R
23049,8.2238335,25.1270023,R
23086,8.2372641,21.3554613,R
23092,8.2380753,46.0103343,R
23112,8.2457675,58.2798424,R
23176,8.2679996,23.1340082,R
23189,8.270806,57.7092644,R
23343,8.3236476,55.0972036,R
23379,8.336341,21.0689834,R
23395,8.3398997,21.1313459,R
23412,8.3451108,54.126609,R
23441,8.3568397,19.1477711,R
23477,8.3711763,21.092593,R
23495,8.3781064,4.2623778,R
23561,8.3986883,20.9754769,R
23589,8.4056222,20.533248,R
23627,8.4195379,18.5826243,R
23688,8.4433248,22.95086,R
23700,8.4516563,21.6452736,R
23756,8.471668,0.2893372,R
23806,8.4838272,47.8005479,R
23842,8.4964272,37.4069932,R
23895,8.5178919,39.6227637,R
23948,8.5390101,41.3588837,R
23953,8.5407978,41.992056,R
23990,8.5561942,53.8322826,R
24002,8.5585394,41.5254498,R
24130,8.5934687,49.5952009,R
24222,8.6208063,4.6958923,R
24230,8.6240547,40.0355665,R
24270,8.6366772,54.7589911,R
24450,8.7065601,41.9090007,R
24505,8.7265244,41.3083696,R
24587,8.7516769,44.6066572,R
24620,8.7605143,36.9346422,R
24680,8.7857499,19.6310628,R
24686,8.78851,2.7622521,R
24688,8.7896465,49.5587013,R
24699,8.7949097,13.4191437,R
24710,8.7988371,25.8316162,R
24759,8.8095215,12.8203923,R
24762,8.8111701,1.038798,R
24779,8.8169943,41.1992942,R
24852,8.8453005,1.3507051,R
24884,8.8591515,30.8653469,R
24975,8.8968317,57.1718284,R
25005,8.9088412,36.5096188,R
25013,8.9113101,42.526427,R
25090,8.9338704,57.390958,R
25194,8.9696618,52.1828251,R
25211,8.9758472,37.0864712,R
25259,8.9969563,5.0608578,R
25441,9.0610853,3.3697781,R
25457,9.0676991,3.5847438,R
25465,9.0721183,17.2923141,R
25493,9.0805998,13.56187,R
25494,9.080506,8.0374954,R
25531,9.101387,51.7353502,R
25547,9.1048183,50.0892925,R
25709,9.1412365,28.9110337,R
25723,9.1460393,55.5058684,R
25735,9.1465354,29.8647807,R
25738,9.1491481,52.263452,R
25767,9.1513151,20.0972933,R
25779,9.1556412,15.8060605,R
25783,9.1562632,15.7961088,R
25861,9.1722557,7.0379658,R
25969,9.2141293,30.2123327,R
26037,9.2368752,16.7423445,R
26038,9.2369605,43.1350025,R
26041,9.2382488,22.2754711,R
26099,9.2557046,43.0150506,R
26103,9.2541988,17.7689317,R
26119,9.2632684,23.4963524,R
26134,9.2669072,34.0084855,R
26210,9.2833789,29.3508867,R
26243,9.2949385,26.9286568,R
26261,9.2989545,34.5092472,R
26262,9.2997331,20.4631284,R
26285,9.3052752,33.5569322,R
26303,9.3097917,50.9484773,R
26330,9.3172844,26.2700218,R
26414,9.341322,18.9262055,R
26480,9.3557817,52.4287058,R
26585,9.3895178,22.6302311,R
26589,9.3885252,1.5830711,R
26623,9.3969275,24.8148072,R
26634,9.403821,51.5080028,R
26649,9.4051482,34.5134592,R
26651,9.4060437,40.6243734,R
26753,9.4342367,12.7344181,R
26779,9.4426965,21.3850477,R
26782,9.44334,62.4088025,R
26784,9.4436058,22.0880928,R
26811,9.4551416,23.0200727,R
26817,9.4565279,30.4407839,R
26851,9.4650911,29.7918359,R
26898,9.4779887,12.6173167,R
26917,9.4878989,55.0555923,R
26941,9.4924535,39.3587771,R
26961,9.5011814,8.7828514,R
27005,9.5148359,25.7494541,R
27014,9.5185477,49.0797104,R
27020,9.5197427,52.6352237,R
27042,9.5268013,6.9523707,R
27093,9.5435809,41.7719809,R
27145,9.5588889,14.5845484,R
27265,9.5892225,65.3911095,R
27407,9.6268119,19.7143821,R
27486,9.6426639,44.6267101,R
27610,9.6750099,40.0877172,R
27635,9.6816434,5.165805,R
27720,9.7013281,23.6852064,R
27765,9.7097577,58.8512297,R
27783,9.7162833,25.9850992,R
27811,9.7209442,35.1605126,R
27940,9.7535525,27.2519511,R
27976,9.7614636,23.6743534,R
28082,9.7809507,-1.0412891,R
28152,9.79592,9.1398081,R
28183,9.8092835,47.3676348,R
28199,9.8130864,1.0532347,R
28252,9.8261814,44.102703,R
28259,9.8281111,32.2210999,R
28300,9.8359342,33.5692891,R
28338,9.8430763,4.7731275,R
28342,9.8471858,17.1383568,R
28419,9.8668659,4.1507705,R
28424,9.8689421,29.2364216,R
28561,9.9060988,51.2434481,R
28580,9.9103386,6.6220849,R
28589,9.9134323,37.686958,R
28699,9.9432731,1.4285344,R
28802,9.971381,68.1024429,R
28891,9.9950728,-2.1498412,R
28946,10.008534,-2.1612253,R
29000,10.0198983,0.2256971,R
29047,10.0319182,53.2601503,R
29057,10.0352835,3.0576931,R
29068,10.0412036,53.8657487,R
29147,10.0564806,48.365791,R
29155,10.0580042,46.6283291,R
29169,10.0627997,16.9200599,R
29244,10.0813939,44.6361207,R
29390,10.1145843,14.0785934,R
29437,10.1249645,35.4696143,R
29438,10.1256174,14.6086179,R
29480,10.1408992,14.5515143,R
29508,10.1458391,12.6879494,R
29562,10.1642272,3.5473054,R
29617,10.1751763,-1.8010636,R
29631,10.1777604,20.0701667,R
29738,10.2138231,30.5833989,R
29789,10.2239761,38.657633,R
29796,10.2247464,38.6198301,R
29801,10.2255434,-3.1685755,R
29826,10.2335429,14.4996773,R
29917,10.2506498,14.6058246,R
29918,10.2496642,40.8634885,R
29972,10.2661588,39.2431237,R
29976,10.2659818,58.4716092,R
29977,10.2682978,38.1092407,R
30008,10.2759116,22.0910815,R
30058,10.2938754,6.9711382,R
30244,10.3447964,13.9677333,R
30299,10.3590357,47.9867533,R
30370,10.3753282,4.5824172,R
30371,10.375004,36.5992581,R
135715,9.2261201,-0.2526444,R
135725,9.5271562,1.570503,R
135738,10.0780087,0.3699203,R
139109,8.4861337,30.3849093,R
139144,8.8319885,2.8981703,R
152712,8.5032434,-1.2701234,R
153179,8.8175399,1.5384257,R
153298,8.9502218,0.5055263,R
153402,9.0476291,1.6810984,R
153546,9.2100804,0.3094853,R
154854,10.1993701,-1.9517044,R
155110,10.3505078,-1.3478126,R
213566,9.0984242,25.3889473,R
1091496,9.3883381,-2.4562238,R
1095888,9.2625667,-2.3022196,R
1098404,9.6171424,-2.2167905,R
1101193,9.4107241,-2.1206812,R
1101256,9.9910568,-2.1187891,R
1101952,9.2903388,-2.0921822,R
1104724,9.1840857,-1.9861136,R
1113413,9.5998829,-1.6606914,R
1115294,9.7876469,-1.5831439,R
1121024,9.8565211,-1.3404702,R
1122338,8.9078347,-1.2860028,R
1123030,9.8658296,-1.2587879,R
1124165,9.8674876,-1.2109344,R
1127207,8.4250659,-1.0832776,R
1132703,9.7120736,-0.8671939,R
1146864,10.259528,-0.2973161,R
1147507,10.1310522,-0.2718963,R
1154343,8.996358,-0.0056002,R
1158487,10.3581364,0.1551372,R
1160707,9.9006104,0.2392617,R
1163210,9.9608422,0.3325332,R
1174153,9.1556791,0.7387242,R
1175219,8.9434777,0.7784314,R
1177310,8.9317403,0.8530728,R
1192747,8.9320143,1.3684806,R
1210787,8.4732169,1.937423,R
1225982,9.5981564,2.4083872,R
1226741,8.2734909,2.4307854,R
1236100,10.0845467,2.7394028,R
1240799,9.1939967,2.9166461,R
