iauname,not_ring_pred,ring_pred,link,ra,dec,redshift,elpetro_absmag_r,sersic_nmgy_r,petro_th50,petro_th90,petro_theta
J094651.40-010228.5,0.0017196022672578,0.99828040599823,https://storage.yandexcloud.net/ring-galaxies/J094651.40-010228.5.jpg,146.714215072841,-1.0412800233313741,0.021222278,-19.303656,1789.2572,3.4641922,10.453795,7.2478933
J135316.39+094017.4,0.001864725491032,0.9981352090835572,https://storage.yandexcloud.net/ring-galaxies/J135316.39%2B094017.4.jpg,208.31829637085343,9.671539895968614,0.1348365,-22.42849,919.6428,11.823557,22.039967,20.906935
J225933.39+023735.0,0.002049964852631,0.99795001745224,https://storage.yandexcloud.net/ring-galaxies/J225933.39%2B023735.0.jpg,344.88914764677486,2.626493735996786,0.04799995,-20.488008,799.5948,3.7795994,11.120095,9.65707
J081604.70+230805.9,0.0021089510992169,0.9978910088539124,https://storage.yandexcloud.net/ring-galaxies/J081604.70%2B230805.9.jpg,124.02002686564747,23.134032329702123,0.013796894,-19.624054,4923.2295,6.1732073,18.282845,12.783573
J145013.50+294537.9,0.0021429208572953,0.9978570342063904,https://storage.yandexcloud.net/ring-galaxies/J145013.50%2B294537.9.jpg,222.55616566566167,29.76041447708204,0.053360328,-21.540056,1728.6062,5.4755754,16.33545,11.856368
J090920.80+154746.9,0.0021706889383494,0.997829258441925,https://storage.yandexcloud.net/ring-galaxies/J090920.80%2B154746.9.jpg,137.3440018182986,15.796184533429557,0.011991648,-19.15611,5244.759,7.491553,22.197176,16.978441
J082650.49+115900.0,0.002237518550828,0.9977624416351318,https://storage.yandexcloud.net/ring-galaxies/J082650.49%2B115900.0.jpg,126.71039399599117,11.983355484745847,0.08131207,-21.582317,741.3561,4.136458,10.527441,10.695449
J120143.46+001059.2,0.0022747330367565,0.9977253079414368,https://storage.yandexcloud.net/ring-galaxies/J120143.46%2B001059.2.jpg,180.43112093250593,0.1831349144346155,0.10435766,-19.418928,78.80519,6.0806336,11.699411,11.334743
J024705.11-002654.5,0.0023239830043166,0.9976760745048524,https://storage.yandexcloud.net/ring-galaxies/J024705.11-002654.5.jpg,41.77133214941355,-0.4484630937753416,0.045094848,-20.57455,1378.1656,6.210226,14.568813,13.218228
J212102.67+014246.4,0.0023381684441119,0.997661828994751,https://storage.yandexcloud.net/ring-galaxies/J212102.67%2B014246.4.jpg,320.26112330063216,1.71297655856773,0.03540121,-20.862305,2861.1072,6.1925087,17.587885,12.536669
